YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
2014,2,20,27.9942,28.7268,28.2442,-0.6093,0,2.2945,1
2014,2,21,27.6569,28.268,28.0396,-0.8517,0,2.2945,1
2014,2,22,27.9968,28.8969,28.0764,-0.3198,0,2.2945,0
2014,2,23,27.784,28.8923,28.2825,-0.4564,0,2.2945,0
2014,2,24,28.0105,29.3084,28.7205,0.0313,0,2.0905,0
2014,2,25,27.9093,28.8089,28.2981,-0.578,0,1.913,0
2014,2,26,27.8146,29.4944,28.7274,-0.0943,0,1.7109,0
2014,2,27,27.8744,29.6758,29.2454,-0.0911,0,1.7109,0
2014,2,28,27.5438,29.3248,28.6505,-0.1427,0,1.7109,0
2014,3,1,27.9225,29.6551,28.8216,0.0827,0,1.7109,0
2014,3,2,27.989,29.5528,29.4546,0.1304,0,1.7109,0
2014,3,3,28.3846,29.7486,28.9356,0.2282,0,1.7109,0
2014,3,4,28.3338,29.4068,28.8387,0.08,0,1.7109,0
2014,3,5,28.1499,29.4408,29.2139,0.4936,0,1.7109,0
2014,3,6,28.4343,29.6048,29.0156,0.6264,0,1.504,0
2014,3,7,28.6044,30.0513,29.4504,0.9103,0.04,1.3525,1
2014,3,8,28.4815,29.5875,28.9899,0.5362,0,1.1773,1
2014,3,9,28.2515,29.5667,28.9174,0.3497,0,0.9561,1
2014,3,10,28.4345,29.7285,29.1972,0.4324,0,0.7681,1
2014,3,11,28.6899,29.7913,29.3616,0.4844,0,0.6164,1
2014,3,12,28.6392,30.1448,29.6405,0.3696,0,0.6164,1
2014,3,13,28.7057,30.0967,29.9523,0.7019,0.0733,0.6164,1
2014,3,14,28.3122,30.0315,29.8332,0.6317,0.0186,0.6164,1
2014,3,15,28.5215,30.0228,29.3487,0.6666,0,0.4495,1
2014,3,16,28.6533,29.94,29.3769,0.6951,0.0363,0.4495,1
2014,3,17,28.7029,29.7418,29.1159,0.4402,0,0.4495,1
2014,3,18,28.4997,29.5501,29.5354,0.3192,0,0.4495,1
2014,3,19,28.4082,29.702,29.0405,0.3168,0,0.4495,1
2014,3,20,27.8755,29.3929,28.7579,-0.0898,0,0.4495,1
2014,3,21,28.2402,29.8924,29.0965,0.4141,0,0.4495,1
2014,3,22,27.913,29.6385,29.332,0.6066,0,0.4495,1
2014,3,23,28.0861,29.9212,29.8098,0.6667,0,0.4495,0
2014,3,24,28.35,30.215,29.296,0.5693,0,0.4495,0
2014,3,25,28.4601,30.0045,29.4656,0.775,0.0098,0.4495,1
2014,3,26,29.3152,30.3262,29.7984,1.0612,0.4396,0.4495,1
2014,3,27,28.9492,30.2564,30.1272,1.3488,0.3425,0.2953,1
2014,3,28,28.9739,30.2223,30.1044,1.0796,0.1667,0.2953,1
2014,3,29,28.8214,30.0339,29.6351,0.955,0.2038,0.2953,1
2014,3,30,28.9691,30.3787,29.7718,1.1339,0.3679,0.2953,1
2014,3,31,29.4097,30.4922,30.0259,1.4231,0.6087,0.2953,1
2014,4,1,29.4203,30.4907,29.902,1.1654,0.4872,0.2953,1
2014,4,2,29.0386,30.5589,29.753,1.0813,0.3613,0.2953,1
2014,4,3,28.8292,30.5321,30.2332,1.3083,0.4545,0.1474,1
