Date,Year,Site,Depth,Transect,Transect_old,Surveyor,GEN,morph,Number,Status,H1,H2,H3,H4
6/25/2017,2017,CristoRei,10m,3,3,CK,MON,,1,Comp,SED,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,EPOR,,1,Healthy,Healthy,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,PLA,,4,Healthy,Healthy,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,GONIAS,,1,Healthy,Healthy,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,GONIAS,,1,Comp,BUR,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,PLA,,1,Comp,Pale,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,PLA,,1,Comp,BUR,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,CYP,,1,Healthy,Healthy,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,FUN,,30,Healthy,Healthy,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,HAL,,1,Healthy,Healthy,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,FUN,,1,Disease,GA,,,
6/25/2017,2017,CristoRei,10m,3,3,CK,CTE,,2,Healthy,Healthy,,,
