month,year,Site,Depth,N,Temp,sd,se,ci,m.y
12,2015,CRWTL,10m,31,30.688987096774195,0.5614270797066676,0.10083528021672628,0.20593311541003717,12/2015
1,2016,CRWTL,10m,31,30.923212903225807,0.27411145633596506,0.049231870904220126,0.10054489391986708,1/2016
2,2016,CRWTL,10m,29,30.911189655172414,0.31480130960975905,0.05845713564656302,0.11974401414731306,2/2016
3,2016,CRWTL,10m,31,31.330490322580644,0.3208791645410451,0.05763159926149361,0.11769942778433916,3/2016
4,2016,CRWTL,10m,30,30.826066666666666,0.2562915262680011,0.04679221674480401,0.09570082870757139,4/2016
5,2016,CRWTL,10m,31,30.593667741935484,0.2005665831041269,0.03602282173489496,0.07356841662742555,5/2016
6,2016,CRWTL,10m,30,29.424446666666668,0.43565448009057395,0.07953926200793088,0.1626760563719798,6/2016
7,2016,CRWTL,10m,31,28.776229032258065,0.22672877804923416,0.04072169065969432,0.08316478720831309,7/2016
8,2016,CRWTL,10m,31,28.085322580645162,0.23239434977307777,0.041739257380309605,0.08524293569427446,8/2016
9,2016,CRWTL,10m,30,28.867073333333334,0.4294782929228833,0.07841164966422484,0.16036983018179748,9/2016
10,2016,CRWTL,10m,31,29.804554838709677,0.30995280376073375,0.05566916693349228,0.11369160629350693,10/2016
11,2016,CRWTL,10m,30,30.70825,0.2143944781037498,0.03914289728732373,0.08005621381099028,11/2016
12,2016,CRWTL,10m,31,31.043112903225808,0.35041980798459005,0.06293725544923677,0.12853502327917124,12/2016
1,2017,CRWTL,10m,31,30.529258064516128,0.23889968853641438,0.042907650713685165,0.08762911321715336,1/2017
2,2017,CRWTL,10m,28,30.14177857142857,0.2402553138228283,0.0454039865383559,0.0931612851492587,2/2017
3,2017,CRWTL,10m,31,30.168029032258065,0.24291292979659493,0.043628450122326204,0.08910118199593918,3/2017
4,2017,CRWTL,10m,30,29.79702,0.1845303533577737,0.03369047902615061,0.06890476636193336,4/2017
5,2017,CRWTL,10m,31,29.838125806451615,0.3164009302217065,0.05682728463402213,0.11605679817445397,5/2017
6,2017,CRWTL,10m,30,28.68326666666667,0.23276624256571413,0.04249710722632027,0.08691634340416213,6/2017
7,2017,CRWTL,10m,31,28.044051612903225,0.20416614944854394,0.0366693229353494,0.07488874822207933,7/2017
8,2017,CRWTL,10m,8,28.032725,0.1934318318463341,0.06838847999793941,0.16171305833269553,8/2017
